Date (UTC),Heure UTC,Heure locale,HF (m),LF (m),Température eau (°C),EMA (%),Pitch (°),Roll (°)
2025-07-16,03:15:35.50,23:15:35,0.658,5.759,25.2,22.95,-0.7,-1.2
2025-07-16,03:15:36.00,23:15:38,0.658,5.759,25.2,22.93,-0.6,-1.1
2025-07-16,03:15:36.50,23:15:39,0.658,5.759,25.2,23.03,-0.8,-1.3
2025-07-16,03:15:37.00,23:15:40,0.658,5.759,25.2,22.88,-0.7,-1.4
2025-07-16,03:15:37.50,23:15:42,0.658,5.759,25.2,9.99,-0.6,-1.3
2025-07-16,03:15:38.00,23:15:43,0.658,5.759,25.2,23.0,-0.4,-1.0
2025-07-16,03:15:38.75,23:15:45,0.658,0.658,25.2,10.04,-0.8,-1.3
2025-07-16,03:15:39.50,23:15:47,5.759,5.759,25.2,23.05,-0.4,-1.1
2025-07-16,03:15:40.25,23:15:49,0.658,0.658,25.2,9.96,-0.6,-1.1
2025-07-16,03:15:41.00,23:15:51,5.759,5.759,25.2,22.98,-0.7,-1.4
2025-07-16,03:15:41.75,23:15:53,0.658,0.658,25.2,9.91,-0.5,-1.1
2025-07-16,03:15:42.50,23:15:55,5.759,5.759,25.2,22.83,-0.5,-1.1
2025-07-16,03:15:43.25,23:15:57,0.658,0.658,25.2,9.91,-0.8,-1.3
2025-07-16,03:15:43.75,23:15:58,5.759,0.658,25.2,9.96,-0.7,-1.3
2025-07-16,03:15:44.25,23:16:00,5.759,0.658,25.2,9.99,-0.8,-1.3
2025-07-16,03:15:44.75,23:16:01,5.759,0.659,25.2,10.01,-0.5,-1.2
2025-07-16,03:15:45.25,23:16:02,5.759,0.697,25.2,10.09,-0.6,-1.2
2025-07-16,03:15:45.75,23:16:04,4.994,0.0,25.2,9.91,-0.6,0.0
2025-07-16,03:15:46.25,23:16:05,30.734,0.0,25.2,10.57,-1.1,-0.5
2025-07-16,03:15:47.75,23:16:06,1.594,6.925,25.2,33.97,-5.6,-12.5
2025-07-16,03:15:49.75,23:16:08,1.819,2.284,25.2,16.78,-8.7,-7.5
2025-07-16,03:15:50.25,23:16:09,6.2,1.65,25.2,10.96,2.1,2.3
2025-07-16,03:15:52.00,23:16:11,2.257,4.679,25.2,12.45,1.0,-6.0
2025-07-16,03:15:53.75,23:16:12,0.0,0.0,25.2,0.0,-4.1,2.5
2025-07-16,03:15:55.75,23:16:14,2.75,0.0,25.2,11.65,0.7,-5.5
2025-07-16,03:15:56.25,23:16:15,4.304,1.912,25.2,11.01,1.9,-6.6
2025-07-16,03:15:58.00,23:16:17,0.0,5.512,25.2,0.0,0.1,-4.1
2025-07-16,03:15:59.75,23:16:18,1.905,0.0,25.2,14.8,-3.1,-2.4
2025-07-16,03:16:00.25,23:16:20,3.892,0.697,25.2,11.01,0.0,-0.1
2025-07-16,03:16:02.00,23:16:21,0.532,3.882,25.2,11.82,-2.9,-13.1
2025-07-16,03:16:04.00,23:16:23,2.002,0.0,25.2,18.29,12.4,21.2
2025-07-16,03:16:05.75,23:16:24,1.918,2.57,25.2,11.89,9.7,25.9
2025-07-16,03:16:06.25,23:16:26,8.016,2.19,25.2,11.5,-1.1,-21.7
2025-07-16,03:16:08.00,23:16:27,0.0,17.826,25.2,0.0,8.4,-1.4
2025-07-16,03:16:09.75,23:16:29,0.0,0.0,25.2,0.0,15.3,27.3
2025-07-16,03:16:10.25,23:16:30,3.01,0.0,25.2,18.29,0.5,-3.2
2025-07-16,03:16:12.00,23:16:31,0.0,4.852,25.2,0.0,-10.7,-0.5
2025-07-16,03:16:14.75,23:16:33,0.0,0.0,25.2,10.94,-28.2,15.8
2025-07-16,03:16:16.75,23:16:35,2.047,1.852,25.2,11.53,-24.8,13.6
2025-07-16,03:16:17.25,23:16:36,3.847,1.423,25.2,10.62,-25.3,12.5
2025-07-16,03:16:18.75,23:16:37,0.0,3.032,25.2,0.0,-28.4,15.5
2025-07-16,03:16:20.75,23:16:39,1.83,2.01,25.2,11.55,-28.9,15.3
2025-07-16,03:16:21.25,23:16:40,3.082,0.0,25.2,11.21,-28.1,15.6
2025-07-16,03:16:23.00,23:16:42,2.13,3.232,25.2,24.13,-27.4,15.4
2025-07-16,03:16:24.75,23:16:43,2.61,1.837,25.2,10.09,-27.3,15.4
2025-07-16,03:16:26.75,23:16:45,2.864,0.0,25.2,0.0,-30.7,19.7
2025-07-16,03:16:27.25,23:16:46,2.997,0.0,25.2,15.8,-29.4,18.9
2025-07-16,03:16:29.00,23:16:48,1.807,3.487,25.2,15.97,-29.5,19.0
2025-07-16,03:16:30.75,23:16:49,2.017,2.04,25.2,11.36,-29.4,19.0
2025-07-16,03:16:31.25,23:16:51,2.999,2.145,25.2,13.63,-29.0,19.2
2025-07-16,03:16:33.00,23:16:52,1.995,2.722,25.2,12.7,-28.5,18.2
2025-07-16,03:16:35.00,23:16:54,2.057,7.634,25.2,0.0,-30.8,20.3
2025-07-16,03:16:36.75,23:16:55,0.0,0.0,25.2,0.0,-32.9,22.0
2025-07-16,03:16:37.25,23:16:57,3.559,1.74,25.2,17.17,-30.6,2.0
2025-07-16,03:16:39.00,23:16:58,1.814,3.584,25.2,19.56,-30.9,21.1
2025-07-16,03:16:40.75,23:17:00,1.915,2.841,25.2,15.38,-30.7,21.1
2025-07-16,03:16:41.25,23:17:01,5.992,1.886,25.2,10.13,1.0,6.7
2025-07-16,03:16:43.00,23:17:02,1.491,0.0,25.2,12.48,31.8,-1.0
2025-07-16,03:16:45.75,23:17:04,1.545,1.35,25.2,11.18,31.0,0.4
2025-07-16,03:16:47.75,23:17:06,0.0,1.185,25.2,0.0,30.8,3.2
2025-07-16,03:16:48.25,23:17:07,0.0,0.0,25.2,0.0,30.0,4.0
2025-07-16,03:16:49.75,23:17:08,1.44,0.0,25.2,11.33,30.2,3.5
2025-07-16,03:16:51.75,23:17:10,1.49,1.972,25.2,16.68,29.5,4.2
2025-07-16,03:16:52.25,23:17:11,0.0,1.8,25.2,0.0,34.1,5.0
2025-07-16,03:16:54.00,23:17:13,1.71,0.0,25.2,15.19,35.3,5.0
2025-07-16,03:16:55.75,23:17:14,2.497,1.626,25.2,12.41,35.3,5.2
2025-07-16,03:16:57.75,23:17:16,17.467,2.01,25.2,11.55,33.9,4.2
2025-07-16,03:16:58.25,23:17:17,7.829,1.522,25.2,12.92,7.7,-0.4
